window_start_s,window_end_s,n_beats,mean_rr,sdnn,rmssd,nn50,pnn50,mean_hr,min_hr,max_hr,vlf_power,lf_power,hf_power,total_power,lf_nu,hf_nu,lf_hf_ratio,sd1,sd2,sd1_sd2_ratio,csi,cvi,sample_entropy
0.6652777777777777,300.66527777777776,342,878.574,60.081,32.542,42,12.317,68.61,58.06,80.0,316.301478,231.740182,576.996488,1380.280543,28.655,71.345,0.4016,23.044,81.783,0.2818,3.549,3.2752,1.578239541578239
60.665277777777774,360.66527777777776,329,899.173,64.762,34.276,45,13.72,67.08,56.69,80.0,265.251287,267.141029,593.355968,1401.339698,31.045,68.955,0.4502,24.273,88.312,0.2749,3.6382,3.3311,1.6716802213113213
120.66527777777777,420.66527777777776,318,924.292,72.19,37.262,58,18.297,65.32,55.38,80.0,331.894997,331.438948,758.075984,1757.312332,30.421,69.579,0.4372,26.385,98.624,0.2675,3.7379,3.4153,1.47506856994443
180.6652777777778,480.66527777777776,306,962.727,59.513,39.054,61,20.0,62.56,55.24,73.72,248.107038,329.570124,825.574216,1732.560873,28.531,71.469,0.3992,27.66,79.489,0.348,2.8738,3.3422,1.7058046163726253
240.6652777777778,540.6652777777778,301,977.584,52.6,39.735,63,21.0,61.56,55.24,71.52,257.918364,383.889093,874.486605,1869.430388,30.507,69.493,0.439,28.143,68.858,0.4087,2.4467,3.2873,1.8550717486423818
300.66527777777776,600.6652777777778,297,985.12,51.494,39.394,60,20.27,61.08,55.1,71.52,208.458306,362.523259,832.051034,1720.9091,30.347,69.653,0.4357,27.902,67.267,0.4148,2.4108,3.2734,1.9055006107174366
360.66527777777776,660.6652777777778,298,993.839,49.844,40.229,66,22.222,60.53,54.55,69.9,122.068257,321.536716,783.750677,1473.060814,29.091,70.909,0.4103,28.493,64.474,0.4419,2.2628,3.2641,1.9813803285036211
420.66527777777776,720.6652777777778,298,999.357,47.077,39.791,65,21.886,60.17,54.55,69.01,140.402014,312.547434,796.88741,1497.06726,28.172,71.828,0.3922,28.184,60.317,0.4673,2.1401,3.2304,2.0231089599125878
480.66527777777776,780.6652777777778,299,997.315,45.311,39.784,70,23.49,60.29,54.55,69.01,148.798884,292.38291,751.61482,1410.852271,28.006,71.994,0.389,28.178,57.551,0.4896,2.0424,3.21,2.045362228026973
540.6652777777778,840.6652777777778,297,1004.265,40.499,39.676,70,23.649,59.84,54.55,68.79,109.562739,246.694002,788.891347,1347.802197,23.822,76.178,0.3127,28.102,49.906,0.5631,1.7759,3.1469,2.29822778762509
600.6652777777778,900.6652777777778,296,1004.561,42.393,40.042,75,25.424,59.84,54.55,70.36,76.417143,162.092702,783.383486,1227.800256,17.144,82.856,0.2069,28.362,52.82,0.537,1.8624,3.1755,1.8533710491788877
660.6652777777778,960.6652777777778,299,997.938,48.203,39.26,70,23.49,60.27,54.68,71.05,219.990853,296.740137,714.729499,1598.411584,29.338,70.662,0.4152,27.807,62.24,0.4468,2.2383,3.2382,1.8509197475407677
720.6652777777778,1020.6652777777778,303,984.223,56.307,40.207,71,23.51,61.17,55.24,72.97,368.253011,718.392677,665.176279,2192.472715,51.923,48.077,1.08,28.477,74.363,0.383,2.6113,3.3259,1.6697445186650914
780.6652777777778,1080.6652777777776,304,980.345,56.916,40.054,71,23.432,61.42,54.68,72.97,529.184031,851.812468,722.598121,2783.402075,54.104,45.896,1.1788,28.367,75.327,0.3766,2.6554,3.3298,1.6896299741516752
840.6652777777778,1140.6652777777776,304,979.13,56.794,39.885,72,23.762,61.49,54.68,72.97,524.822701,829.578829,755.051126,2783.18032,52.352,47.648,1.0987,28.25,75.188,0.3757,2.6616,3.3272,1.5910042107452624
