window_start_s,window_end_s,n_beats,mean_rr,sdnn,rmssd,nn50,pnn50,mean_hr,min_hr,max_hr,vlf_power,lf_power,hf_power,total_power,lf_nu,hf_nu,lf_hf_ratio,sd1,sd2,sd1_sd2_ratio,csi,cvi,sample_entropy
0.95,300.95,352,754.269,106.111,125.72,19,5.413,80.39,38.99,86.75,5694.926181,7437.403775,7415.603265,24481.902417,50.073,49.927,1.0029,89.024,120.805,0.7369,1.357,4.0316,0.6153140252760562
60.95,360.95,351,750.301,106.707,125.917,20,5.714,80.83,38.99,86.75,5601.871624,8029.450665,6612.118055,24002.256899,54.84,45.16,1.2144,89.164,121.748,0.7324,1.3654,4.0357,0.6051282468100158
120.95,420.95,359,744.909,106.68,124.76,22,6.145,81.43,38.99,89.63,1655.793505,865.590517,1352.214849,4606.967203,39.029,60.971,0.6401,88.342,122.298,0.7223,1.3844,4.0336,0.6452712325139165
180.95,480.95,378,722.898,26.957,24.694,11,2.918,83.11,71.05,92.31,38.729494,130.234721,193.496052,399.363645,40.229,59.771,0.6731,17.484,33.878,0.5161,1.9376,2.7726,2.201488976122677
240.95,540.95,382,715.169,27.368,26.144,13,3.412,84.02,71.05,92.31,45.49716,115.488413,172.356128,370.404135,40.122,59.878,0.6701,18.511,33.99,0.5446,1.8362,2.7988,2.103037362276518
300.95,600.95,343,713.581,59.786,44.799,14,4.094,84.47,45.09,92.31,450.163,729.548672,317.489789,1778.346026,69.677,30.323,2.2979,31.711,78.378,0.4046,2.4716,3.3954,1.1190749792373529
360.95,660.95,300,703.87,63.906,54.522,15,5.017,85.69,45.09,94.32,4575.501684,2113.24886,415.289608,9721.073597,83.576,16.424,5.0886,38.617,81.711,0.4726,2.1159,3.4991,1.039860629848418
420.95,720.95,303,694.866,61.693,53.928,15,4.967,86.76,45.09,94.32,5276.807617,2802.876265,473.462925,11668.071703,85.549,14.451,5.9199,38.196,78.442,0.4869,2.0537,3.4766,0.9490401808351786
480.95,780.95,296,730.124,169.29,81.369,21,7.119,84.74,39.13,96.43,11248.898965,4729.628954,818.157477,21720.588746,85.253,14.747,5.7808,57.634,232.371,0.248,4.0318,4.1269,0.2515916634915534
540.95,840.95,280,750.754,206.52,93.088,21,7.527,83.59,39.13,96.43,16143.71073,6300.76302,1213.344848,30729.995177,83.852,16.148,5.1929,65.92,284.527,0.2317,4.3163,4.2731,0.16391112496840723
600.95,900.95,305,741.23,191.324,85.896,23,7.566,84.11,39.13,96.43,18911.784526,6031.794067,1289.19475,35396.122025,82.39,17.61,4.6787,60.837,263.645,0.2308,4.3336,4.2052,0.1977258272954199
660.95,960.95,339,761.226,214.571,93.788,29,8.58,82.66,39.13,96.43,19267.085987,6936.214066,1591.494721,37007.540904,81.337,18.663,4.3583,66.417,296.092,0.2243,4.4581,4.2937,0.1328867491988097
720.95,1020.95,327,768.603,222.428,103.115,30,9.202,82.14,39.13,96.43,19560.811806,7263.3197,1766.549135,39120.10629,80.437,19.563,4.1116,73.014,305.969,0.2386,4.1905,4.3491,0.15573407404357054
780.95,1080.95,281,744.187,184.534,98.3,24,8.571,83.5,41.46,97.3,15608.144978,8236.372998,1139.003269,35258.367182,87.851,12.149,7.2312,69.633,251.51,0.2769,3.6119,4.2434,0.18137438541982664
840.95,1140.95,293,723.407,143.341,76.649,18,6.164,84.74,41.46,97.3,10939.443947,5291.361976,906.822965,24218.779834,85.37,14.63,5.8351,54.292,195.309,0.278,3.5974,4.0255,0.2884442142625963
900.95,1200.95,304,723.474,140.89,76.228,16,5.281,84.67,41.46,97.3,10777.044502,5750.884894,983.324261,24616.941299,85.398,14.602,5.8484,53.99,191.794,0.2815,3.5524,4.0151,0.2936664444698363
960.95,1260.95,322,698.715,55.058,57.146,8,2.492,86.18,42.27,97.3,3234.191616,3287.912108,148.572794,8806.740223,95.677,4.323,22.13,40.471,66.52,0.6084,1.6436,3.4301,1.171375526046064
1020.95,1320.95,314,742.525,175.853,45.631,11,3.514,83.4,40.07,97.3,3596.272447,1022.157182,232.779921,5904.680308,81.451,18.549,4.3911,32.274,246.591,0.1309,7.6405,3.9008,0.15335027536966458
1080.95,1380.95,342,828.046,273.463,46.311,17,4.985,78.05,40.07,91.14,3284.699025,1525.209526,454.601116,6359.880723,77.038,22.962,3.3551,32.768,385.344,0.085,11.7599,4.1013,0.03435120357161108
1140.95,1440.95,310,935.699,329.451,49.205,21,6.796,71.33,40.07,91.14,4170.123697,1762.223477,489.950173,8036.931062,78.245,21.755,3.5967,34.813,464.612,0.0749,13.3461,4.2088,0.04270243168434766
1200.95,1500.95,297,954.34,336.317,64.503,22,7.432,70.25,40.07,92.7,10334.748624,3655.433204,679.055281,18742.858256,84.334,15.666,5.3831,45.688,473.425,0.0965,10.3622,4.335,0.04286124321657843
1260.95,1560.95,252,1025.022,348.516,121.316,32,12.749,65.91,38.43,94.74,16860.850985,36238.516703,2271.693317,68328.465344,94.101,5.899,15.9522,85.925,485.328,0.177,5.6483,4.6202,0.1186644027235736
1320.95,1620.95,262,964.366,340.014,147.866,38,14.559,69.71,38.43,94.74,18892.742371,37166.956991,4460.848917,75749.519677,89.284,10.716,8.3318,104.74,469.307,0.2232,4.4807,4.6916,0.1104333276534996
1380.95,1680.95,268,889.583,313.719,150.591,38,14.232,74.39,38.43,94.74,22111.019081,35472.669781,4840.727051,77913.635423,87.992,12.008,7.328,106.684,430.648,0.2477,4.0367,4.6622,0.10826947909119865
1440.95,1740.95,283,833.638,278.429,150.546,40,14.184,77.81,38.43,94.74,18602.293852,32677.993392,5337.463313,69520.266859,85.96,14.04,6.1224,106.627,379.046,0.2813,3.5549,4.6066,0.11619703032741671
1500.95,1800.95,282,825.778,270.023,144.207,37,13.167,78.19,38.43,94.74,17348.719994,23236.79636,5503.923758,55990.708233,80.85,19.15,4.2219,102.152,367.954,0.2776,3.602,4.575,0.11126687511468418
