window_start_s,window_end_s,n_beats,mean_rr,sdnn,rmssd,nn50,pnn50,mean_hr,min_hr,max_hr,vlf_power,lf_power,hf_power,total_power,lf_nu,hf_nu,lf_hf_ratio,sd1,sd2,sd1_sd2_ratio,csi,cvi,sample_entropy
0.6208333333333333,300.62083333333334,364,809.165,25.322,25.895,11,3.03,74.22,68.14,80.6,12.471674,15.275996,445.329198,568.537529,3.317,96.683,0.0343,18.336,30.76,0.5961,1.6776,2.7513,2.1887714416251614
60.62083333333333,360.62083333333334,365,805.928,27.211,26.036,10,2.747,74.53,68.79,83.08,27.28378,24.319047,417.611355,572.995649,5.503,94.497,0.0582,18.435,33.779,0.5458,1.8323,2.7943,2.2292725603625776
120.62083333333334,420.62083333333334,371,793.127,36.678,25.206,11,2.973,75.82,68.79,87.1,115.284089,42.969625,423.230665,723.877957,9.217,90.783,0.1015,17.848,48.703,0.3665,2.7288,2.9391,1.7714252997221582
180.62083333333334,480.62083333333334,374,783.14,42.53,25.684,14,3.753,76.85,68.79,89.63,166.595258,59.47375,415.592,826.536801,12.519,87.481,0.1431,18.186,57.332,0.3172,3.1526,3.0181,1.5213239995003704
240.62083333333334,540.6208333333334,380,778.056,41.626,25.426,13,3.43,77.34,67.92,89.63,258.443045,88.252861,406.501806,986.599772,17.838,82.162,0.2171,18.003,56.048,0.3212,3.1133,3.0039,1.9163419482733621
300.62083333333334,600.6208333333334,384,771.766,38.562,25.418,16,4.178,77.94,67.92,89.63,277.94821,101.236313,416.581193,1019.84047,19.551,80.449,0.243,17.996,51.48,0.3496,2.8606,2.9668,1.808046474202754
360.62083333333334,660.6208333333334,388,768.943,35.919,24.676,14,3.618,78.2,67.92,89.63,180.227142,74.395571,399.945382,814.566281,15.684,84.316,0.186,17.47,47.699,0.3663,2.7303,2.9208,1.7853832520887791
420.62083333333334,720.6208333333334,387,772.0,35.564,25.936,18,4.663,77.89,67.92,89.63,177.398265,60.376977,397.733673,784.204337,13.18,86.82,0.1518,18.362,46.823,0.3922,2.5499,2.9344,1.7697805625092797
480.62083333333334,780.6208333333334,383,779.714,32.724,26.391,19,4.974,77.09,67.92,87.45,179.666723,45.229602,428.16912,809.263735,9.554,90.446,0.1056,18.686,42.339,0.4413,2.2658,2.8983,1.6911016830971348
540.6208333333333,840.6208333333333,382,781.952,31.239,26.472,19,4.987,76.85,69.9,87.45,117.951209,46.187423,436.7396,736.469642,9.564,90.436,0.1058,18.743,40.006,0.4685,2.1344,2.875,1.7370035901246266
600.6208333333333,900.6208333333333,370,787.005,33.671,28.938,20,5.42,76.38,67.92,87.45,112.502278,61.752152,473.657924,788.584543,11.534,88.466,0.1304,20.49,42.984,0.4767,2.0978,2.9449,1.8284060923378296
660.6208333333333,960.6208333333333,366,793.632,35.192,29.121,23,6.301,75.75,67.92,87.45,89.994623,68.176408,487.774951,779.729865,12.263,87.737,0.1398,20.62,45.296,0.4552,2.1967,2.9703,1.9292211363254637
720.6208333333333,1020.6208333333333,358,801.87,29.95,29.508,26,7.283,74.93,67.92,86.06,11.795528,64.890472,465.599925,642.788138,12.232,87.768,0.1394,20.894,36.844,0.5671,1.7634,2.8864,1.8825059460922857
780.6208333333333,1080.6208333333334,357,804.427,29.048,31.038,31,8.708,74.68,67.92,83.72,16.577372,62.313264,544.272524,724.087061,10.273,89.727,0.1145,21.978,34.706,0.6333,1.5791,2.8824,1.8864246957691333
840.6208333333333,1140.6208333333334,354,806.481,28.431,30.912,30,8.499,74.49,67.92,83.72,18.554405,50.138312,515.11014,693.967204,8.87,91.13,0.0973,21.889,33.726,0.649,1.5408,2.8682,1.8276914784541183
900.6208333333333,1200.6208333333334,360,806.582,27.336,29.542,30,8.357,74.47,69.45,83.72,16.703747,35.533312,473.033698,623.793483,6.987,93.013,0.0751,20.918,32.511,0.6434,1.5542,2.8326,2.480391969433474
960.6208333333333,1260.6208333333334,353,806.555,27.435,29.499,28,7.955,74.48,69.23,83.72,15.601338,26.177804,496.843057,633.20414,5.005,94.995,0.0527,20.889,32.696,0.6389,1.5653,2.8344,2.228477120840324
1020.6208333333333,1320.6208333333334,352,809.012,26.762,28.731,23,6.553,74.25,68.79,83.72,9.607001,25.909363,455.092621,586.323216,5.387,94.613,0.0569,20.345,31.913,0.6375,1.5686,2.8124,2.172223275130802
1080.6208333333334,1380.6208333333334,351,810.359,25.658,26.576,16,4.571,74.12,68.57,80.0,15.646777,22.189448,436.943697,571.275571,4.833,95.167,0.0508,18.819,31.024,0.6066,1.6486,2.7663,2.1759265796572853
1140.6208333333334,1440.6208333333334,353,811.536,26.172,27.159,19,5.398,74.01,68.57,80.0,17.967208,25.082183,439.915329,579.06405,5.394,94.606,0.057,19.231,31.624,0.6081,1.6444,2.784,2.1026086009613705
1200.6208333333334,1500.6208333333334,353,813.48,25.991,27.246,18,5.114,73.83,68.57,80.9,16.998047,27.270326,460.087472,604.163777,5.596,94.404,0.0593,19.293,31.286,0.6167,1.6216,2.7808,1.9388304734672515
1260.6208333333334,1560.6208333333334,359,812.372,26.422,27.84,21,5.866,73.94,68.57,80.9,16.544896,30.611265,461.07768,608.56086,6.226,93.774,0.0664,19.714,31.743,0.621,1.6102,2.7964,2.020293869177141
1320.6208333333334,1620.6208333333334,354,811.394,27.387,29.753,25,7.082,74.03,67.5,86.06,19.594376,40.766601,469.97825,630.613472,7.982,92.018,0.0867,21.068,32.5,0.6483,1.5426,2.8355,2.2090590349832224
1380.6208333333334,1680.6208333333334,359,801.045,37.49,30.829,27,7.542,75.07,67.5,91.91,65.220457,40.857425,489.493591,716.941296,7.704,92.296,0.0835,21.83,48.316,0.4518,2.2133,3.0231,1.8685726469896717
1440.6208333333334,1740.6208333333334,361,795.891,37.317,30.693,27,7.5,75.56,67.5,91.91,153.111969,82.246453,478.890388,911.426301,14.657,85.343,0.1717,21.733,48.091,0.4519,2.2128,3.0192,1.8784028609329435
1500.6208333333334,1800.6208333333334,366,785.861,39.303,29.7,28,7.671,76.54,67.5,91.91,202.440398,97.623973,490.574345,1023.326546,16.597,83.403,0.199,21.029,51.451,0.4087,2.4467,3.0342,1.7886872701910848
